Batch Size,Mean Latency per Image (ms),Std Latency per Image (ms),Mean Latency per Batch (ms),Std Latency per Batch (ms),Mean Throughput (imgs/sec),Std Throughput (imgs/sec)
1,0.32513843291997907,0.004057993683158214,0.32513843291997907,0.004057993683158214,3193.5583177484305,29.3625275102704
2,0.18005708825588226,0.0018586226370320127,0.3601141765117645,0.0037172452740640255,5710.775647887176,49.68902796608013
4,0.09059993596374989,0.0008659503069759826,0.36239974385499957,0.0034638012279039304,11431.559195583079,68.70320065670279
8,0.04567447197437286,0.0025660656428244787,0.3653957757949829,0.02052852514259583,22795.723246783433,929.4302778026222
16,0.02331513598188758,0.0003720712333263977,0.37304217571020126,0.0059531397332223636,44262.675774973744,520.8886151687802
32,0.011185343993827701,0.0009683974405026464,0.35793100780248643,0.030988718096084684,97599.78466344881,839.2198495550155
64,0.005670280107402835,4.554227366392318e-05,0.3607043996453285,0.002855549440741584,187801.38850489704,1799.982535601335
128,0.002948587001904983,0.00012964328915522895,0.37550352141261095,0.016219897774494136,365558.8429041264,14091.401922480485
256,0.0020572571647432397,5.8305921314060394e-05,0.5249222409725188,0.014935595377142386,526859.0031865317,10326.923663217489
512,0.001631209116497236,4.197200504021261e-05,0.8320966351032257,0.021467935279065053,640313.1503519069,7077.202112491235
1024,0.0013868757178710097,2.236354948524035e-05,1.4147379207611084,0.022740164636298167,729595.655054122,10200.38925234402
2048,0.0013071299417087856,4.220457881825674e-05,2.2353066603342695,0.07818664430409163,771668.6898549822,22306.695599906947
4096,0.001251489200362142,1.6854490236142576e-05,3.199884796142578,0.0636205558870611,799303.3503406179,10555.560910358276
8192,0.0012151931126912438,5.164979346739638e-07,6.197484874725342,0.0026341394668371173,822914.6216815242,349.66320407183207
16384,0.0012109954497393437,4.798979894831802e-06,6.176076793670655,0.024474797463642183,825779.8637402367,3262.6876130936353
32768,0.0012179726993336397,1.0489874875615227e-05,6.211660766601563,0.05349836186563768,821097.2222635819,7054.6077007484155
65536,0.001219807363023945,8.379954756316029e-06,6.221017551422119,0.04273776925721155,819840.3704549539,5647.010704077718
131072,0.001220964375664206,1.863110790908255e-05,6.226918315887451,0.09501865033632109,819211.7367046945,12256.597442963646
262144,0.0012150751188689589,1.327959059849147e-05,6.19688310623169,0.06772591205230649,823092.0496875576,8936.437112893484
524288,0.0012235055811264934,8.906233194467021e-06,6.239878463745117,0.045421789291782075,817366.6604849391,5914.045102722448
